"county_fips","avg_download_mbps","avg_upload_mbps","avg_latency_ms","median_download_mbps","median_upload_mbps","total_tests","total_devices","n_tiles"
"01001",139.278788691438,66.6951424878837,22.4016155088853,111.819,15.279,3095,833,325
"01003",105.004648111463,55.5527374537771,50.5165742208135,45.4395,11.1445,15144,5026,1860
"01005",99.1598702290076,11.0262251908397,55.4198473282443,36.919,6.943,262,94,70
"01007",37.205307860262,22.3461113537118,156.954148471616,16.538,3.292,458,156,117
"01009",56.9981072673639,23.61108769107,35.7519442209708,23.601,4.381,3729,903,611
"01011",20.6478128342246,7.39858823529412,40.951871657754,15.284,3.0405,187,39,36
"01013",57.5482552816901,30.3210774647887,32.4348591549296,26.0695,6.4335,568,139,96
"01015",106.677601116625,24.0308784119107,26.6076302729529,84.7085,11.4145,3224,1233,716
"01017",125.302578888889,16.6505988888889,44.2988888888889,65.5375,10.449,900,211,156
"01019",28.9352055137845,6.09598245614035,80.1695906432749,12.5195,2.801,1197,342,268
"01021",54.3591781376518,41.7023056680162,87.1578947368421,20.056,2.479,988,377,283
"01023",9.4160298013245,3.16698675496689,77.6556291390728,6.243,0.883,302,110,95
"01025",25.8058397976391,5.15820067453625,213.266441821248,13.544,1.708,593,175,132
"01027",15.6441370656371,2.07036486486486,114.758687258687,8.377,0.964,518,104,85
"01029",26.193274611399,18.0730647668394,77.740932642487,11.863,1.03,386,112,81
"01031",78.8314052583862,20.4320063463282,37.473708068903,59.244,11.671,2206,726,371
"01033",95.7656814535159,38.2105205285512,39.81689476168,64.4745,10.9565,2119,686,360
"01035",90.6877259615385,23.8535240384615,133.134615384615,16.56,3.018,208,61,47
"01037",71.8947422360248,15.5748819875776,166.757763975155,48.34,8.821,322,106,81
"01039",71.1646732240438,14.515693989071,58.896174863388,31.684,8.527,915,373,289
"01041",62.2965619834711,59.6755495867769,46.2148760330578,21.074,4.583,242,72,63
"01043",94.4168223583462,23.3641773353752,58.9886676875957,56.6505,10.1315,3265,995,638
"01045",91.2467991596639,26.8201369747899,31.0159663865546,51.828,11.556,1190,470,287
"01047",76.6301729106628,9.25345100864553,69.328530259366,24.9715,9.5085,694,203,144
"01049",84.8402150870405,59.4889500967118,29.9148936170213,78.067,52.698,2585,925,683
"01051",118.500107775039,60.7803015908581,26.3309433116738,84.905,11.8735,4463,1422,792
"01053",51.8337130584193,9.20027835051546,202.917525773196,23.494,3.812,582,200,141
"01055",128.650881690914,33.4077771067801,28.4984902552841,88.651,11.617,3643,1089,689
"01057",40.0840924024641,25.4022320328542,115.287474332649,27.682,5.286,487,171,119
"01059",70.9418284473399,10.3284484256243,52.4766558089034,45.2385,7.9205,921,266,162
"01061",46.5323858267717,16.5826377952756,261.608923884514,10.8565,2.872,381,122,104
"01063",15.5668857142857,4.73942857142857,441.485714285714,13.159,1.861,35,15,13
"01065",22.3969591836735,5.15620408163265,396.979591836735,11.897,3.8175,98,32,28
"01067",50.4929458413927,6.08193423597679,88.779497098646,25.27,5.035,517,175,112
"01069",97.0238988486842,17.7377971491228,33.2793311403509,72.381,11.4085,3648,1290,608
"01071",93.4549593687039,72.5871182001343,19.4536601746138,64.4685,48.4695,2978,1088,788
